Date,Min,MinCorrect,Average,AverageCorrect,Max,MaxCorrect
18811015,3.5,0,6.0,0,7.4,0
18811016,4.3,0,6.0,0,8.6,0
18811017,0.6,0,4.0,0,6.1,0
18811018,3.1,0,5.2,0,7.2,0
18811019,2.9,0,4.5,0,7.1,0
18811020,2.9,0,3.9,0,5.3,0
18811021,2.2,0,2.5,0,3.8,0
18811022,1.1,0,1.9,0,3.7,0
18811023,-0.7,0,0.9,0,2.3,0
18811024,-1.0,0,-0.6,0,1.3,0
18811025,-1.1,0,0.4,0,1.8,0
18811026,-6.9,0,-4.4,0,-0.1,0
18811027,-8.0,0,-5.0,0,-2.5,0
18811028,-8.7,0,-5.5,0,-1.0,0
18811029,-9.6,0,-6.3,0,-2.6,0
18811030,-8.6,0,-5.7,0,-3.8,0
18811031,-11.3,0,-6.8,0,-6.0,0
18811101,-6.6,0,-4.0,0,-3.0,0
18811102,-7.4,0,-4.5,0,-0.7,0
18811103,-8.8,0,-2.5,0,0.6,0
18811104,-1.5,0,0.2,0,1.1,0
18811105,-2.8,0,-0.6,0,1.2,0
18811106,-6.2,0,-4.1,0,-2.4,0
18811107,-4.2,0,-1.3,0,-0.4,0
18811108,-9.2,0,-2.8,0,2.4,0
18811109,1.8,0,2.9,0,3.4,0
18811110,1.5,0,2.5,0,3.2,0
18811111,1.3,0,2.4,0,3.1,0
18811112,-5.5,0,-2.6,0,2.0,0
18811113,-6.3,0,-0.6,0,2.1,0
18811114,-3.4,0,-1.2,0,2.2,0
18811115,-7.5,0,-1.5,0,6.0,0
18811116,-9.4,0,-0.2,0,6.0,0
18811117,3.3,0,5.1,0,6.0,0
18811118,-6.4,0,-1.8,0,5.6,0
18811119,-10.0,0,-7.3,0,-6.1,0
18811120,-8.6,0,-4.7,0,-1.3,0
18811121,-1.2,0,2.9,0,3.4,0
18811122,0.4,0,1.0,0,2.8,0
18811123,0.7,0,3.2,0,4.4,0
18811124,0.5,0,1.0,0,2.8,0
18811125,0.5,0,1.9,0,2.9,0
18811126,-0.4,0,1.6,0,3.3,0
18811127,-0.4,0,2.2,0,3.8,0
18811128,3.4,0,6.2,0,7.2,0
18811129,3.7,0,4.7,0,5.9,0
18811130,1.2,0,3.2,0,5.1,0
18811201,-3.2,0,-1.7,0,1.4,0
18811202,-4.3,0,-1.6,0,0.0,0
18811203,-2.3,0,-1.6,0,-1.2,0
18811204,-2.5,0,-1.3,0,-1.0,0
18811205,-1.9,0,-0.5,0,0.9,0
18811206,-0.7,0,0.1,0,1.1,0
18811207,-2.0,0,-1.1,0,0.0,0
18811208,-6.9,0,-4.8,0,-1.6,0
18811209,-6.2,0,-5.0,0,-3.7,0
18811210,-5.5,0,-2.8,0,-1.9,0
18811211,-3.8,0,-2.9,0,-1.6,0
18811212,-4.2,0,-2.5,0,-1.5,0
18811213,-7.1,0,-4.5,0,-1.5,0
18811214,-13.6,0,-11.7,0,-6.6,0
18811215,-13.8,0,-7.7,0,-5.6,0
18811216,-16.5,0,-14.0,0,-5.7,0
18811217,-17.3,0,-13.1,0,-10.4,0
18811218,-13.6,0,-10.9,0,-6.8,0
18811219,-8.2,0,-4.3,0,-1.1,0
18811220,-3.7,0,-0.7,0,1.1,0
18811221,-6.5,0,-3.8,0,-2.4,0
18811222,-7.4,0,-5.4,0,-4.3,0
18811223,-10.2,0,-9.3,0,-6.4,0
18811224,-9.2,0,-6.5,0,-5.4,0
18811225,-9.9,0,-8.9,0,-6.2,0
18811226,-12.9,0,-5.7,0,-1.5,0
18811227,-1.6,0,2.6,0,5.2,0
18811228,-3.9,0,-1.7,0,2.2,0
18811229,-7.2,0,-5.1,0,-2.6,0
18811230,-9.3,0,-7.1,0,-5.4,0
18811231,-10.5,0,-3.8,0,,9
18820101,-8.2,0,-2.8,0,,9
18820102,-9.9,0,-5.6,0,,9
18820103,-1.3,0,0.4,0,,9
18820104,0.8,0,4.0,0,,9
18820105,-1.8,0,0.6,0,,9
18820106,-2.9,0,0.0,0,,9
18820107,0.5,0,2.0,0,,9
18820108,-0.4,0,0.6,0,,9
18820109,-4.5,0,-2.9,0,,9
18820110,-3.3,0,0.5,0,,9
